item_no,Category,Beverage,Prep,Calories,Total_Fat(g),Trans_Fat(g),Saturated_Fat(g),Sodium_(mg),Total_Carbohydrates(g),Cholesterol(mg),Dietary_Fibre(g),Sugars(g),Protein(g),Vitamin_A(% DV),Vitamin_C(% DV),Calcium(% DV),Iron(% DV),Caffeine(mg)
1211,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Tall Soymilk,220,4.0,2.5,0.0,0,170,45,1,42,3.0,4,0,10,20,75
1212,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Grande Nonfat Milk,310,4.0,3.0,0.0,0,250,67,2,62,5.0,6,0,10,25,110
1213,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Grande Whole Milk,340,7.0,5.0,0.1,10,250,67,2,62,5.0,4,0,10,25,110
1214,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Grande Soymilk,310,6.0,3.5,0.0,0,240,65,2,60,4.0,4,0,10,30,110
1215,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Venti Nonfat Milk,420,5.0,4.0,0.0,5,340,90,2,84,7.0,10,0,20,35,145
1216,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Venti Whole Milk,460,10.0,7.0,0.2,15,340,90,2,84,7.0,6,0,15,35,145
1217,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Venti Soymilk,430,8.0,4.5,0.0,0,330,88,3,80,6.0,6,0,20,40,145
1218,Frappuccino® Light Blended Coffee,Coffee,Tall Nonfat Milk,90,0.1,0.0,0.0,0,160,20,0,19,3.0,4,0,10,0,70
1219,Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,120,0.1,0.1,0.0,0,210,26,0,26,3.0,6,0,10,0,95
1220,Frappuccino® Light Blended Coffee,Coffee,Venti Nonfat Milk,160,0.1,0.1,0.0,5,270,34,0,33,5.0,8,0,15,2,120
1221,Frappuccino® Light Blended Coffee,Mocha,Tall Nonfat Milk,110,0.5,0.4,0.0,0,150,24,1,23,3.0,4,0,8,6,70
1222,Frappuccino® Light Blended Coffee,Mocha,Grande Nonfat Milk,150,1.0,0.5,0.0,0,200,33,1,30,4.0,6,0,10,8,95
1223,Frappuccino® Light Blended Coffee,Mocha,Venti Nonfat Milk,210,1.0,0.5,0.0,5,280,46,1,42,6.0,8,0,15,10,130
1224,Frappuccino® Light Blended Coffee,Caramel,Tall Nonfat Milk,100,0.1,0.0,0.0,0,140,23,0,23,3.0,4,0,8,0,65
1225,Frappuccino® Light Blended Coffee,Caramel,Grande Nonfat Milk,150,0.1,0.1,0.0,0,200,33,0,32,3.0,6,0,10,0,90
1226,Frappuccino® Light Blended Coffee,Caramel,Venti Nonfat Milk,200,0.1,0.1,0.0,5,270,44,0,43,5.0,8,0,15,2,120
1227,Frappuccino® Light Blended Coffee,Java Chip,Tall Nonfat Milk,150,3.0,2.0,0.0,0,170,30,1,27,4.0,4,0,10,20,70
1228,Frappuccino® Light Blended Coffee,Java Chip,Grande Nonfat Milk,220,4.0,3.0,0.0,0,240,43,2,39,5.0,6,0,10,25,105
1229,Frappuccino® Light Blended Coffee,Java Chip,Venti Nonfat Milk,290,5.0,4.0,0.0,5,320,58,2,52,7.0,8,0,15,35,165
